Word,Definition
encomium,Warm or glowing praise eulogy panegyric      
encomium   ,"Warm, glowing praise, esp. a formal expression of praise"
encumbrance,Burden things that get on the way of    
endearing,Making dear or liked        
endemic,"Epidemic           ; Native, local; natural, specific to, or confined to a particular place"
endorse,Write one's name on the back of     
enduring,Lasting           
enervate,"Weaken deprive of strength attenuate       ; Weaken, tire"
engender,"Cause produce give rise to       ; Produce, give rise to, cause to exist; procreate"
engrave,Impress deeply          
engrossing,Taken up all the time or attention writing in large or formal
engulf,Swallow up          
enhance,"Raise to a higher value, desirability, etc."
enigma,"Smth that is puzzling        ; Puzzle, mystery, riddle; mysterious or contradictory person"
enmity,Hatred being an enemy        
ensign,Flag/badge         
entangle,Put into difficulties         
enthral,Please greatly/enslave (fig)       
entice,Tempt or persuade       
entitlement ,"Having the right to certain privileges; believing, sometimes without cause, that one deserves or has a right to certain privileges"
entreat,Ask earnestly          
enumerate   ,Count or list; specify one-by-one
enunciate,Pronounce (words)/express a theory      
enzyme,Catalyst           
ephemeral ,"Lasting only a short time, fleeting"
epicure,"Person with cultivated, refined tastes, esp. in food and wine"
epicurean,Devoted to pleasure (sensuous enjoyment)       
epistle,Letter           
epithet,Adjective           
epitome,Brief summary representative example a typical model     
equable,Steady regular          
equanimity,Calmness of temperament         
equanimity ,"Composure, evenness of mind; mental or emotional stability, esp. under stress"
equilibrium,State of being balanced        
equipoise,Equal distribution of weight equilibrium       
equitable,"Fair, equal, just"
equivocal,Having a double or doubtful meaning suspicious     
equivocate,Try to deceive by equivocal language      
equivocate   ,Use unclear language to deceive or avoid committing to a position
eradicate,Get rid of pull up by the roots    
erratic,"Inconsistent, wandering, having no fixed course; Irregular in behaviour or opinion       "
erroneous   ,"Mistaken, in error; improper, morally incorrect"
ersatz,"Artificial, synthetic; being an inferior substitute"
erstwhile,"Former, previous (adj); in the past, formerly (adv)"
